+----------------------------+------------+---------+------------+----------+
| team_name                  | ts         | ts_rank | pra        | pra_rank |
| South Alabama              |  -0.585676 |     274 |   -5.51312 |      267 |
| Western Illinois           |   -0.65018 |     286 |   -5.54134 |      268 |
| North Florida              |  -0.163391 |     199 |   -5.59489 |      269 |
| Illinois-Chicago           |  -0.991216 |     322 |   -5.73837 |      270 |
| Pennsylvania               |  -0.672725 |     290 |   -5.87768 |      271 |
| Incarnate Word             |  -0.126957 |     194 |   -5.90316 |      272 |
| Savannah State             |  -0.590105 |     275 |   -5.95148 |      273 |
| Tennessee Tech             |   -0.22803 |     219 |   -5.98505 |      274 |
| Lipscomb                   |  -0.200979 |     212 |   -6.11432 |      275 |
| Niagara                    |  -0.816864 |     309 |   -6.29359 |      276 |
| Missouri-Kansas City       |  -0.469855 |     262 |   -6.47148 |      277 |
| California-Riverside       |  -0.855953 |     313 |   -6.51357 |      278 |
| Texas State                |  -0.831148 |     310 |   -6.82722 |      279 |
| Chattanooga                |  -0.321107 |     241 |    -6.9574 |      280 |
| North Carolina-Wilmington  |  -0.699039 |     294 |    -7.0983 |      281 |
| Fairleigh Dickinson        |  -0.628859 |     281 |   -7.10999 |      282 |
| Central Michigan           |  -0.694192 |     293 |   -7.52977 |      283 |
| Tennessee State            |   -1.02481 |     325 |   -7.98862 |      284 |
| Chicago State              |  -0.456577 |     259 |   -8.07293 |      285 |
| Ball State                 |  -0.863678 |     315 |   -8.22374 |      286 |
| Tulane                     |  -0.201064 |     213 |   -8.26363 |      287 |
| Navy                       |  -0.904861 |     317 |   -8.31989 |      288 |
| SIU Edwardsville           |  -0.404251 |     256 |   -8.32136 |      289 |
| Loyola (MD)                |  -0.603602 |     276 |   -8.33707 |      290 |
| Coppin State               |  -0.576218 |     272 |   -8.36812 |      291 |
| Texas-Pan American         |  -0.861524 |     314 |    -8.6857 |      292 |
| Georgia Southern           |   -0.74637 |     301 |   -8.70622 |      293 |
| Nicholls State             |  -0.359546 |     251 |   -8.84799 |      294 |
| Austin Peay                |  -0.684198 |     292 |   -8.86569 |      295 |
| Liberty                    |  -0.990888 |     321 |   -9.03549 |      296 |
| NJIT                       |  -0.762216 |     304 |   -9.04889 |      297 |
| Eastern Illinois           |  -0.743632 |     299 |   -9.08334 |      298 |
| Saint Francis (PA)         |  -0.723485 |     296 |   -9.16516 |      299 |
| Florida A&M                |  -0.648648 |     285 |   -9.17941 |      300 |
| Alabama State              |   -0.26459 |     232 |   -9.19916 |      301 |
| McNeese State              |  -0.522953 |     267 |   -9.20296 |      302 |
| San Jose State             |  -0.741883 |     298 |   -9.22023 |      303 |
| Alabama A&M                |  -0.503098 |     265 |   -9.24818 |      304 |
| Central Connecticut State  |  -0.738188 |     297 |   -9.31355 |      305 |
| Jacksonville               |  -0.636204 |     282 |   -9.37515 |      306 |
| Montana State              |  -0.642362 |     283 |   -9.46642 |      307 |
| Jackson State              |  -0.665229 |     288 |   -9.56004 |      308 |
| Rice                       |  -0.940747 |     318 |   -9.62822 |      309 |
| Massachusetts-Lowell       |  -0.708785 |     295 |   -9.66527 |      310 |
| Delaware State             |   -1.03155 |     328 |   -9.81958 |      311 |
| Texas-San Antonio          |  -0.872073 |     316 |   -9.87897 |      312 |
| Northern Kentucky          |   -0.83516 |     311 |   -9.96541 |      313 |
| Southeastern Louisiana     |    -0.6838 |     291 |   -10.0845 |      314 |
| Sacred Heart               |   -1.23262 |     341 |   -10.2634 |      315 |
| Jacksonville State         |  -0.853536 |     312 |   -10.3619 |      316 |
| California-Davis           |   -1.00988 |     324 |    -10.616 |      317 |
| North Carolina-Greensboro  |  -0.748265 |     302 |   -10.7934 |      318 |
| Arkansas-Pine Bluff        |  -0.497111 |     264 |   -10.9991 |      319 |
| Long Island University     |  -0.763448 |     305 |   -11.1829 |      320 |
| New Hampshire              |   -1.29561 |     346 |    -11.186 |      321 |
| Maryland-Baltimore County  |  -0.971913 |     320 |   -11.2266 |      322 |
| Tennessee-Martin           |   -1.06018 |     331 |   -11.2805 |      323 |
| New Orleans                |  -0.473035 |     263 |   -11.3386 |      324 |
| Samford                    |  -0.805783 |     308 |   -11.3661 |      325 |
| Alcorn State               |  -0.797753 |     307 |   -11.8692 |      326 |
| Prairie View               |  -0.767052 |     306 |   -12.0189 |      327 |
| Bethune-Cookman            |    -1.2522 |     342 |   -12.2763 |      328 |
| Binghamton                 |   -1.10338 |     334 |   -12.2774 |      329 |
| Howard                     |   -1.05489 |     330 |   -12.4801 |      330 |
| Cornell                    |   -1.31522 |     348 |   -12.5799 |      331 |
| IUPUI                      |   -1.06929 |     332 |   -13.0993 |      332 |
| Appalachian State          |   -1.19638 |     340 |   -13.1228 |      333 |
| Maryland-Eastern Shore     |   -1.29946 |     347 |   -13.1983 |      334 |
| Central Arkansas           |   -1.00099 |     323 |   -13.2155 |      335 |
| Campbell                   |  -0.943341 |     319 |   -13.2608 |      336 |
| North Carolina A&T         |   -1.02743 |     327 |   -13.5684 |      337 |
| Maine                      |   -1.18427 |     338 |   -13.8051 |      338 |
| Kennesaw State             |   -1.19424 |     339 |   -14.2387 |      339 |
| Lamar                      |   -1.26491 |     343 |   -14.2555 |      340 |
| Stetson                    |   -1.04554 |     329 |   -14.5457 |      341 |
| South Carolina State       |   -1.02694 |     326 |   -14.6638 |      342 |
| Citadel                    |   -1.38267 |     349 |   -14.7133 |      343 |
| Houston Baptist            |   -1.17579 |     337 |   -14.9469 |      344 |
| Abilene Christian          |   -1.16354 |     336 |   -15.0547 |      345 |
| Furman                     |   -1.12324 |     335 |   -15.2749 |      346 |
| Longwood                   |   -1.28165 |     345 |   -16.5515 |      347 |
| Mississippi Valley State   |   -1.09853 |     333 |   -16.7231 |      348 |
| Southern Utah              |   -1.55566 |     351 |    -17.517 |      349 |
| Presbyterian               |   -1.49458 |     350 |   -17.5459 |      350 |
| Grambling                  |   -1.27733 |     344 |   -18.2228 |      351 |
+----------------------------+------------+---------+------------+----------+
